Date,Time,Lat,Lon,Depth,Mag
2007/09/30, 05:23:34.07, -49.2710,  164.1150,  10.00,  7.40
2007/10/31, 03:30:15.96,  18.9000,  145.3880, 207.00,  7.20
2007/11/14, 15:40:50.53, -22.2470,  -69.8900,  40.00,  7.70
2007/11/29, 19:00:20.42,  14.9440,  -61.2740, 156.00,  7.40
2007/12/09, 07:28:20.82, -25.9960, -177.5140, 152.50,  7.80
2007/12/19, 09:30:27.93,  51.3600, -179.5090,  34.00,  7.20
2008/02/20, 08:08:30.52,   2.7680,   95.9640,  26.00,  7.40
2008/02/25, 08:36:33.03,  -2.4860,   99.9720,  25.00,  7.20
2008/03/20, 22:32:57.93,  35.4900,   81.4670,  10.00,  7.20
2008/04/09, 12:46:12.72, -20.0710,  168.8920,  33.00,  7.30
2008/04/12, 00:30:12.60, -55.6640,  158.4530,  16.00,  7.10
2008/05/12, 06:28:01.57,  31.0020,  103.3220,  19.00,  7.90
2008/06/30, 06:17:43.02, -58.2270,  -22.0990,   8.00,  7.00
2008/07/05, 02:12:04.48,  53.8820,  152.8860, 632.80,  7.70
2008/07/19, 02:39:28.70,  37.5520,  142.2140,  22.00,  7.00
2008/09/29, 15:19:31.59, -29.7560, -177.6830,  36.00,  7.00
2008/11/16, 17:02:32.70,   1.2710,  122.0910,  30.00,  7.40
2008/11/24, 09:02:58.76,  54.2030,  154.3220, 492.30,  7.30
2009/01/03, 19:43:50.65,  -0.4140,  132.8850,  17.00,  7.70
2009/01/03, 22:33:40.29,  -0.6910,  133.3050,  23.00,  7.40
2009/01/15, 17:49:39.07,  46.8570,  155.1540,  36.00,  7.40
2009/02/11, 17:34:50.49,   3.8860,  126.3870,  20.00,  7.20
2009/02/18, 21:53:45.16, -27.4240, -176.3300,  25.00,  7.00
2009/03/19, 18:17:40.47, -23.0430, -174.6600,  31.00,  7.60
2009/05/28, 08:24:46.56,  16.7310,  -86.2170,  19.00,  7.30
2009/07/15, 09:22:29.03, -45.7620,  166.5620,  12.00,  7.80
2009/08/09, 10:55:55.11,  33.1670,  137.9440, 292.00,  7.10
2009/08/10, 19:55:38.73,  14.0990,   92.9020,  24.00,  7.50
2009/09/02, 07:55:01.05,  -7.7820,  107.2970,  46.00,  7.00
2009/09/29, 17:48:10.99, -15.4890, -172.0950,  18.00,  8.10
2009/09/30, 10:16:09.25,  -0.7200,   99.8670,  81.00,  7.60
2009/10/07, 22:03:14.47, -13.0060,  166.5100,  45.00,  7.70
2009/10/07, 22:18:51.24, -12.5170,  166.3820,  35.00,  7.80
2009/10/07, 23:13:48.16, -13.0930,  166.4970,  31.10,  7.40
2009/11/09, 10:44:55.11, -17.2390,  178.3310, 595.00,  7.30
2010/01/03, 22:36:25.64,  -8.7830,  157.3540,  10.00,  7.10
2010/01/12, 21:53:10.06,  18.4430,  -72.5710,  13.00,  7.00
2010/02/26, 20:31:26.97,  25.9300,  128.4250,  25.00,  7.00
2010/02/27, 06:34:11.53, -36.1220,  -72.8980,  22.90,  8.80
2010/02/27, 08:01:23.01, -37.7730,  -75.0480,  35.00,  7.40
2010/03/11, 14:55:27.51, -34.3260,  -71.7990,  18.00,  7.00
2010/04/04, 22:40:42.36,  32.2862, -115.2953,  10.00,  7.20
2010/04/06, 22:15:01.58,   2.3830,   97.0480,  31.00,  7.80
2010/05/09, 05:59:41.62,   3.7480,   96.0180,  38.00,  7.20
2010/05/27, 17:14:46.57, -13.6980,  166.6430,  31.00,  7.20
2010/06/12, 19:26:50.46,   7.8810,   91.9360,  35.00,  7.50
2010/06/16, 03:16:27.55,  -2.1740,  136.5430,  18.00,  7.00
2010/07/18, 13:34:59.36,  -5.9310,  150.5900,  35.00,  7.40
2010/07/23, 22:08:11.25,   6.7180,  123.4090, 607.10,  7.30
2010/07/23, 22:51:11.84,   6.4970,  123.4800, 578.00,  7.60
2010/07/23, 23:15:10.19,   6.7760,  123.2590, 640.60,  7.50
